Simulation,First_Trigger_Month_Idx,Cost_Payoff_PV,Benefit_Payoff_PV
128,31,20078072.54003626,19074168.91303445
129,28,22370784.776824683,21252245.537983444
130,32,19278844.434233695,18314902.21252201
131,42,12008614.594389338,11408183.86466987
132,25,24630082.421004076,23398578.299953874
133,34,17352543.33127729,16484916.164713422
134,37,15489848.355323585,14715355.937557405
135,37,15367322.48167316,14598956.357589502
136,40,13215595.705232266,12554815.919970652
137,35,16919434.563442964,16073462.835270815
138,43,11365566.006742252,10797287.706405139
139,37,15615609.209148211,14834828.748690799
140,35,16920750.474099018,16074712.95039407
141,36,16321984.722949063,15505885.486801611
142,42,11951857.616575468,11354264.735746695
143,39,14159988.321967613,13451988.905869232
144,39,14112440.749972748,13406818.71247411
145,42,12020290.998360526,11419276.448442498
146,37,15581023.326549703,14801972.160222217
147,29,21793134.25060956,20703477.538079083
148,34,17662506.855579,16779381.51280005
149,34,17843512.338285625,16951336.72137134
150,38,14779721.966979668,14040735.868630683
151,36,16177468.92597594,15368595.47967714
152,33,18628750.443484325,17697312.92131011
153,41,12777746.915377146,12138859.569608288
154,31,20122693.778060302,19116559.08915729
155,36,16214051.67941207,15403349.095441468
156,32,19076589.75715584,18122760.269298043
157,39,14104477.28535086,13399253.421083316
158,35,16916071.819587413,16070268.22860804
159,41,12669565.4446367,12036087.172404867
160,41,12720277.117899613,12084263.262004633
161,34,17764380.085239366,16876161.080977395
162,35,17054752.481010772,16202014.856960231
163,32,19105870.824498143,18150577.283273235
164,43,11093046.475601947,10538394.15182185
165,40,13360668.62510752,12692635.193852141
166,39,14146561.913572242,13439233.81789363
167,39,13890959.582218872,13196411.603107927
168,35,17125417.36152595,16269146.493449649
169,38,14798363.357019372,14058445.189168403
170,40,13378262.242799416,12709349.130659446
171,32,19320763.368263036,18354725.199849885
172,36,16381758.812446298,15562670.871823981
173,29,21736117.166273028,20649311.307959374
174,42,11926726.03110017,11330389.729545161
175,35,17145084.97901498,16287830.730064232
176,39,14158897.577692334,13450952.698807716
177,38,14941815.799638575,14194725.009656645
178,39,14194539.583648838,13484812.604466395
179,39,14040110.839181606,13338105.297222525
180,40,13338801.238972608,12671861.177023977
181,44,10578938.2731246,10049991.35946837
182,36,16318444.812227942,15502522.571616545
183,36,16220238.52535574,15409226.59908795
184,36,16251791.484049683,15439201.9098472
185,32,19295111.59242247,18330356.012801345
186,34,17982036.409560937,17082934.589082886
187,40,13329351.387948947,12662883.818551498
188,35,17005174.10911919,16154915.403663233
189,40,13480553.670654576,12806525.987121847
190,36,16351750.082934847,15534162.578788102
191,40,13452997.784863653,12780347.89562047
192,41,12684001.386029262,12049801.316727798
193,38,14999938.345480273,14249941.428206258
194,34,17633610.32510887,16751929.808853425
195,37,15723874.80137469,14937681.061305955
196,38,14834944.766817855,14093197.528476961
197,37,15521960.446109993,14745862.423804494
198,37,15333906.39527753,14567211.075513653
199,29,21554729.655979462,20476993.173180487
200,35,17036474.009800896,16184650.309310852
201,41,12751186.495373044,12113627.170604391
202,34,17776697.208124813,16887862.347718574
203,44,10472987.676798841,9949338.292958898
